164,Gandhinagar,INC,DINESH GUNDU RAO,M,47354,BJP,A.R. SAPTHAGIRI GOWDA,37284,55.38%,229803,10070,B.B.M.P (CENTRAL)
165,Rajajinagar,BJP,SURESH KUMAR,M,56271,INC,G PADMAVATHI,46818,57.10%,211116,9453,B.B.M.P (CENTRAL)
166,Govindarajanagar,BJP,V SOMANNA,F,79135,INC,PRIYA KRISHNA,67760,53.91%,292973,11375,B.B.M.P(SOUTH)
167,Vijayanagar,INC,M KRISHNAPPA,M,73353,BJP,M RAVINDRA,70578,55.00%,312443,2775,B.B.M.P(SOUTH)
168,Chamrajapet,INC,ZAMEER AHMED,M,65339,BJP,M LAKSHMINARAYANA,32202,54.33%,220947,33137,B.B.M.P (CENTRAL)
169,Chickpet,BJP,UDAY GARUDACHAR,M,57312,INC,R V DEVARAJ,49378,57.66%,223682,7934,B.B.M.P (CENTRAL)
170,Basavanagudi,BJP,RAVISUBRAMANYA L A,M,76018,JDS,K.BAGEGOWDA,38009,52.80%,245325,38009,B.B.M.P(SOUTH)
171,Padmanabanagar,BJP,R ASHOKA,M,77868,JDS,V K GOPAL,45702,53.00%,278219,32166,B.B.M.P(SOUTH)
172,B.T.M Layout,INC,RAMLINGA REDDY,M,67085,BJP,LALLESH REDDY,46607,50.09%,270493,20478,B.B.M.P(SOUTH)
173,Jayanagar,-,-,M,-,-,-,-,-,203184,-,B.B.M.P(SOUTH)
174,Mahadevapura,BJP,ARAVINDA LIMBAVALI,M,141682,INC,A C SRINIVASA,123898,55.00%,504850,17784,BANGALORE URBAN
175,Bommanahalli,BJP,SATHISH REDDY,M,111863,INC,SUSHMA RAJAGOPAL REDDY,64701,52.00%,414076,47162,B.B.M.P(SOUTH)
176,Bangalore South,BJP,M KRISHNAPPA,M,152469,INC,R K RAMESH,122052,53.17%,603678,30417,BANGALORE URBAN
177,Anekal,INC,B.SHIVANNA,F,113894,BJP,A.NARAYANASWAMY,105267,63.99%,359546,8627,BANGALORE URBAN
178,Hosakote,INC,N NAGARAJU (M.T.B),M,98824,BJP,SHARATH KUMAR BACHEGOWDA,91227,89.97%,213742,7597,BANGALORE RURAL
179,Devanahalli,JDS,NARAYANASWAMY L N,M,86966,INC,VENKATASWAMY,69956,84.43%,202236,17010,BANGALORE RURAL
180,Doddaballapur,INC,T VENKATARAMANAIAH,M,73225,JDS,B MUNEGOWDA,63280,82.65%,203190,9945,BANGALORE RURAL
181,Nelamangala,JDS,DR. K .SREENIVASAMURTHY,M,69277,INC,R NARAYANASWAMY,44956,79.06%,203743,24321,BANGALORE RURAL
182,Magadi,JDS,A MANJUNATH,F,119492,INC,H.C. BALAKRISHNA,68067,85.83%,224815,51425,RAMANAGARAM
183,Ramanagaram,JDS,H D KUMARSWAMY,M,92626,INC,IQBAL HUSSAIN.H.A,69990,82.55%,206982,22636,RAMANAGARAM
184,Kanakapura,INC,D K SHIVAKUMAR,M,127552,JDS,NARAYANA GOWDA,47643,83.16%,222584,79909,RAMANAGARAM
185,Channapatna,JDS,H D KUMARSWAMY,M,87995,BJP,C P YOGEESHWARA,66465,85.86%,217573,21530,RAMANAGARAM
186,Malavalli,JDS,K ANNADANI,F,103038,INC,P.M.NARENDRASWAMY,76278,80.74%,238716,26760,MANDYA
187,Maddur,JDS,D.C.THAMMANNA,M,109239,INC,MADHU G MADEGOWDA,55209,82.86%,205373,54030,MANDYA
188,Melukote,JDS,C S PUTTARAJU,M,96003,Swaraj India,DARSHAN PUTTANNAIAH,73779,86.88%,195440,22224,MANDYA
189,Mandya,JDS,M SRINIVAS,M,69421,INC,P RAVIKUMAR,47813,72.13%,227541,21608,MANDYA
190,Shrirangapattana,JDS,RAVINDRA SRIKANTAIAH,M,101307,INC,A.B.RAMESHA BANDISIDDEGOWDA,57619,83.85%,208911,43688,MANDYA
191,Nagamangala,JDS,SURESH GOWDAA,M,112396,INC,N CHALUVARAYASWAMY,64729,87.11%,206533,47667,MANDYA
192,Krishnarajpet,JDS,NARAYANAGOWDA,M,88016,INC,K B CHANDRASHEKAR,70897,83.87%,205486,17119,MANDYA
